123456,1731509046839,25.45,76.46,1.56
123456,1731510016928,24.78,76.38,3.89
123456,1731511567285,27.80,76.15,0.71
123456,1731511752078,24.87,76.24,3.47
123456,1731542903414,26.10,81.69,0.05
123456,1731543050058,28.05,72.60,3.46
123456,1731543053489,28.63,78.36,2.53
123456,1731544252635,27.80,83.16,2.26
123456,1731544355705,25.51,88.85,3.53
123456,1731544503053,25.29,87.21,2.04
123456,1731544506464,28.17,75.97,1.66
123456,1731544566331,25.34,74.90,2.70
123456,1731544653454,28.72,87.46,4.19
123456,1731544668452,27.21,66.72,1.96
123456,1731544701580,27.91,77.35,4.39
123456,1731544731905,24.25,62.08,3.60
123456,1731544753605,26.76,73.95,2.31
